Game,Year,Month,Sales,Diff,Reply_SUM,Reply_MEAN,Reply_MAX,Reply_MIN,Like_SUM,Like_MEAN,Like_MAX,Like_MIN,Retweet_SUM,Retweet_MEAN,Retweet_MAX,Retweet_MIN,User Followers count_MEAN,User Followers count_MAX,User Followers count_MIN,User Followers count_SUM,User Following count_MEAN,User Following count_MAX,User Following count_MIN,User Following count_SUM,Sentiment_TEXTBLOB_MEAN,Sentiment_VADER_MEAN,Sentiment_NLTK_MEAN,meanAMZ,countAMZ,meanMTC,countMTC
ACNH,2022,5,,,382.0,14.148148148148149,71.0,1.0,29246.0,1083.1851851851852,12221.0,99.0,2892.0,107.11111111111111,1332.0,9.0,708677.5185185185,9641278.0,1221.0,19134293.0,1081.1851851851852,6888.0,0.0,29192.0,0.5555555555555556,0.1590851851851852,0.1590851851851852,10.0,15.0,4.0,5.0
ACNH,2022,6,39.38,0.740000000000002,275.0,18.33333333333333,156.0,1.0,10698.0,713.2,6132.0,70.0,787.0,52.46666666666667,359.0,3.0,897780.4666666667,9641278.0,1489.0,13466707.0,838.6666666666666,1993.0,19.0,12580.0,0.6,0.0742666666666666,0.0742666666666666,10.0,29.0,6.0,10.0
ACNH,2022,7,,,462.0,24.31578947368421,158.0,0.0,32018.0,1685.157894736842,11122.0,113.0,4131.0,217.42105263157896,1430.0,10.0,269088.8947368421,1155599.0,319.0,5112689.0,561.3684210526316,2150.0,0.0,10666.0,0.6842105263157895,0.2039157894736842,0.2039157894736842,9.0,25.0,6.0,7.0
ACNH,2022,8,,,176.0,14.666666666666666,104.0,0.0,19981.0,1665.0833333333333,16268.0,64.0,2208.0,184.0,1690.0,12.0,1149179.3333333333,9641280.0,225.0,13790152.0,1886.6666666666667,15372.0,73.0,22640.0,0.6666666666666666,0.278025,0.278025,9.0,31.0,8.0,6.0
ACNH,2022,9,40.17,0.7899999999999991,802.0,27.655172413793103,355.0,0.0,37983.0,1309.7586206896551,9921.0,97.0,5308.0,183.0344827586207,1409.0,5.0,486349.0344827586,9641282.0,28.0,14104122.0,654.2413793103449,2986.0,0.0,18973.0,0.7241379310344828,0.1789931034482758,0.1789931034482758,8.0,38.0,7.0,7.0
ACNH,2022,10,,,480.0,28.235294117647054,110.0,0.0,18926.0,1113.2941176470588,4961.0,97.0,5183.0,304.88235294117646,2424.0,5.0,220483.8823529412,1155599.0,269.0,3748226.0,998.1176470588236,3560.0,0.0,16968.0,0.6470588235294118,0.3095823529411765,0.3095823529411765,9.0,25.0,6.0,5.0
ACNH,2022,11,,,811.0,25.34375,430.0,0.0,17267.0,539.59375,2953.0,80.0,2121.0,66.28125,526.0,5.0,568485.5625,9641282.0,62.0,18191538.0,1314.40625,15372.0,0.0,42061.0,0.375,0.253759375,0.253759375,10.0,22.0,6.0,8.0
ACNH,2022,12,41.59,1.4200000000000017,180.0,11.25,43.0,1.0,9035.0,564.6875,1829.0,103.0,1012.0,63.25,304.0,0.0,188682.5,1155600.0,9.0,3018920.0,722.3125,2938.0,10.0,11557.0,0.875,0.330725,0.330725,7.0,44.0,7.0,8.0
ACNH,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,28.0,7.0,6.0
ACNH,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,8.0,5.0
ACNH,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
ACNH,2023,5,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,1.0
ACNH,2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,10.0,2.0
ACNH,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,4.0,1.0
ACNH,2023,8,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,,
ACNH,2023,9,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,
ACNH,2023,11,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,7.0,1.0
ACNH,2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
BOTW,2016,6,,,2425.0,10.104166666666666,573.0,0.0,62049.0,258.5375,2226.0,52.0,26517.0,110.4875,987.0,8.0,1375326.3958333333,12661351.0,36.0,330078335.0,5011.604166666667,106120.0,8.0,1202785.0,0.6958333333333333,0.08250125,0.08250125,,,,
BOTW,2016,7,,,276.0,5.111111111111111,26.0,0.0,12673.0,234.6851851851852,1242.0,79.0,4985.0,92.3148148148148,542.0,12.0,948805.1851851852,9641215.0,9.0,51235480.0,1151.888888888889,15372.0,8.0,62202.0,0.8333333333333334,0.2321185185185185,0.2321185185185185,,,,
BOTW,2016,8,,,159.0,3.975,15.0,0.0,6787.0,169.675,425.0,61.0,2301.0,57.525,203.0,16.0,1260653.825,5127964.0,390.0,50426153.0,3380.325,106120.0,8.0,135213.0,0.9,0.139575,0.139575,,,,
BOTW,2016,9,,,96.0,5.052631578947368,15.0,1.0,3288.0,173.05263157894737,392.0,79.0,1334.0,70.21052631578948,197.0,20.0,1613228.894736842,9641217.0,9060.0,30651349.0,6177.9473684210525,106120.0,8.0,117381.0,0.9473684210526316,0.0124315789473684,0.0124315789473684,,,,
BOTW,2016,10,,,254.0,6.684210526315789,83.0,0.0,7184.0,189.05263157894737,677.0,62.0,2899.0,76.28947368421052,287.0,15.0,1494110.0526315789,9641217.0,1780.0,56776182.0,3647.7368421052633,106120.0,7.0,138614.0,0.8947368421052632,0.1321815789473684,0.1302315789473684,,,,
BOTW,2016,11,,,581.0,15.702702702702704,179.0,0.0,14655.0,396.0810810810811,4638.0,57.0,6494.0,175.51351351351352,1946.0,9.0,1565413.8648648649,12661357.0,18351.0,57920313.0,1044.2972972972973,9354.0,8.0,38639.0,0.3783783783783784,0.1762108108108108,0.1636108108108108,,,,
BOTW,2016,12,,,685.0,5.854700854700854,96.0,0.0,23797.0,203.3931623931624,1664.0,50.0,9506.0,81.24786324786325,727.0,14.0,675823.4957264957,12661357.0,82.0,79071349.0,1723.3247863247864,106120.0,7.0,201629.0,0.6324786324786325,0.1962641025641025,0.1962641025641025,,,,
BOTW,2017,1,,,4038.0,12.424615384615384,593.0,0.0,106838.0,328.7323076923077,7107.0,49.0,68607.0,211.09846153846155,11936.0,5.0,593468.4215384616,5127965.0,62.0,192877237.0,3534.1353846153847,106120.0,0.0,1148594.0,0.8492307692307692,0.1385163076923077,0.1365670769230769,,,,
BOTW,2017,2,,,6759.0,16.13126491646778,859.0,0.0,160915.0,384.0453460620525,16348.0,49.0,77347.0,184.59904534606204,7922.0,0.0,812490.7374701671,14110766.0,126.0,340433619.0,7771.315035799523,546581.0,1.0,3256181.0,0.7875894988066826,0.1725131264916467,0.171716706443914,,,,
BOTW,2017,3,2.76,2.76,9307.0,11.213253012048192,1393.0,0.0,311061.0,374.7722891566265,12269.0,4.0,133584.0,160.944578313253,20043.0,0.0,1178117.060240964,27210436.0,9.0,977837160.0,4884.351807228915,106120.0,0.0,4054012.0,0.7686746987951807,0.1844897590361445,0.1832290361445783,10.0,360.0,9.0,870.0
BOTW,2017,4,,,2256.0,8.847058823529412,101.0,0.0,108820.0,426.7450980392157,9169.0,52.0,38246.0,149.98431372549018,4377.0,1.0,1078765.705882353,9641227.0,677.0,275085255.0,4881.0392156862745,106120.0,1.0,1244665.0,0.7333333333333333,0.2130764705882352,0.2106717647058823,10.0,266.0,9.0,290.0
BOTW,2017,5,,,1709.0,11.097402597402596,284.0,0.0,50959.0,330.9025974025974,11399.0,44.0,24152.0,156.83116883116884,7163.0,0.0,970858.5194805196,12661363.0,249.0,149512212.0,3591.0974025974024,106120.0,0.0,553029.0,0.8506493506493507,0.1894422077922078,0.1894422077922078,10.0,172.0,9.0,174.0
BOTW,2017,6,3.92,1.1600000000000001,1660.0,8.556701030927835,111.0,0.0,63197.0,325.75773195876286,7861.0,54.0,20204.0,104.14432989690722,3337.0,0.0,997692.0463917524,12661364.0,546.0,193552257.0,3935.3711340206182,106120.0,0.0,763462.0,0.8711340206185567,0.1867551546391752,0.1867551546391752,10.0,147.0,9.0,227.0
BOTW,2017,7,,,1214.0,8.48951048951049,128.0,0.0,39375.0,275.34965034965035,2072.0,55.0,12669.0,88.5944055944056,1634.0,1.0,954964.3356643356,12661364.0,96.0,136559900.0,7395.167832167832,206712.0,5.0,1057509.0,0.8321678321678322,0.1834678321678321,0.1834678321678321,10.0,147.0,9.0,187.0
BOTW,2017,8,,,785.0,14.017857142857142,143.0,0.0,25049.0,447.3035714285714,11309.0,61.0,8136.0,145.28571428571428,4896.0,5.0,684306.3035714285,12661364.0,419.0,38321153.0,4574.732142857143,106120.0,23.0,256185.0,0.7142857142857143,0.1944125,0.1944125,10.0,145.0,10.0,201.0
BOTW,2017,9,4.7,0.7800000000000002,893.0,9.5,62.0,0.0,20809.0,221.37234042553192,894.0,59.0,5857.0,62.30851063829788,409.0,0.0,1025636.489361702,9641230.0,5.0,96409830.0,5053.202127659574,206712.0,1.0,475001.0,0.6382978723404256,0.2253170212765957,0.2253170212765957,10.0,120.0,10.0,132.0
BOTW,2017,10,,,891.0,10.36046511627907,104.0,0.0,20077.0,233.45348837209303,1793.0,66.0,6125.0,71.22093023255815,1125.0,0.0,606014.8837209302,5127967.0,327.0,52117280.0,597.9883720930233,5647.0,23.0,51427.0,0.7093023255813954,0.2391104651162791,0.2391104651162791,10.0,146.0,9.0,144.0
BOTW,2017,11,,,1825.0,12.762237762237762,374.0,0.0,44983.0,314.56643356643355,6784.0,54.0,12628.0,88.3076923076923,1835.0,0.0,923545.3006993008,12661365.0,256.0,132066978.0,4235.0,106120.0,1.0,605605.0,0.7342657342657343,0.3015377622377622,0.3015377622377622,10.0,119.0,9.0,129.0
BOTW,2017,12,6.7,2.0,2533.0,10.598326359832637,167.0,0.0,83987.0,351.41004184100416,6980.0,6.0,21665.0,90.64853556485356,1932.0,1.0,963497.6861924686,27210442.0,512.0,230275947.0,1560.5481171548115,106120.0,0.0,372971.0,0.5564853556485355,0.3470117154811715,0.3472799163179916,10.0,154.0,9.0,121.0
BOTW,2018,1,,,2151.0,14.533783783783784,592.0,0.0,70653.0,477.3851351351352,21410.0,55.0,23151.0,156.42567567567568,6062.0,1.0,512734.7162162162,12661367.0,145.0,75884738.0,1526.2297297297298,106120.0,8.0,225882.0,0.668918918918919,0.2978101351351351,0.2978851351351351,10.0,176.0,8.0,27.0
BOTW,2018,2,,,809.0,6.68595041322314,57.0,0.0,33566.0,277.40495867768595,4446.0,57.0,8404.0,69.45454545454545,1685.0,3.0,554389.7603305785,5127967.0,305.0,67081161.0,2819.595041322314,106120.0,0.0,341171.0,0.7520661157024794,0.2117760330578512,0.2117760330578512,10.0,110.0,9.0,45.0
BOTW,2018,3,8.48,1.7800000000000002,1688.0,9.124324324324323,100.0,0.0,66478.0,359.34054054054053,5083.0,58.0,16189.0,87.5081081081081,1709.0,1.0,386559.9081081081,5127967.0,513.0,71513583.0,3144.0756756756755,106120.0,0.0,581654.0,0.8162162162162162,0.3663767567567568,0.3662913513513514,10.0,123.0,8.0,37.0
BOTW,2018,4,,,830.0,8.058252427184467,110.0,0.0,47944.0,465.4757281553398,15940.0,74.0,11621.0,112.8252427184466,4384.0,1.0,169926.12621359224,1826430.0,368.0,17502391.0,1058.747572815534,15372.0,0.0,109051.0,0.6601941747572816,0.3277902912621359,0.3176815533980582,10.0,94.0,9.0,67.0
